Country,Total price
Australia,137138.46
Austria,8585.48
Bahrain,548.4
Belgium,35327.43
Brazil,1143.6
France,176088.43
Germany,192290.75
Greece,4425.52
Hong Kong,9952.99
Iceland,3598.21
Israel,8135.26
Italy,15169.74
Japan,29711.3
Lebanon,1693.88
Malta,2070.59
Netherlands,275134.86
Norway,28667.52
Poland,6726.49
Portugal,24967.19
RSA,1002.3100000000001
Saudi Arabia,145.92
Singapore,9120.39
Spain,54021.38
Sweden,33005.03
Switzerland,51862.98
USA,3580.39
United Arab Emirates,1864.78
United Kingdom,8042609.084
Unspecified,4749.79
